,time,can_id,data_in_binary,data_in_hex
2608,1.4082551,19B,0011011010100000100001110010001001101010101000000000000010001001,36A087226AA00089
2609,1.4084889880000002,19D,0000101101010000000011111111111100000000010110101010000001100011,0B500FFF005AA063
2610,1.408729255,19E,0000000000000000000000000000000100001010111100000000000011111011,000000010AF000FB
2611,1.408979714,1F5,0000000000001111000011110000000000000000000000000000000000011110,000F0F000000001E
2612,1.4092219469999998,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2613,1.4094621530000002,589,0000000000000000011101111100000000000000011010000011000011001111,000077C0006830CF
2614,1.4111741780000002,263,0001010101111000000000000000000000000000000000000000000010001101,157800000000008D
2615,1.41216278,1.00E+05,0100010000000000000010011000000010100010010000000010000111010000,44000980A24021D0
2616,1.412644803,348,000000000000000000000000000000000000001000000010,000000000202
2617,1.4131609790000002,C1,1001100000000000000000000000000000011000000000000000000010110000,98000000180000B0
2618,1.413369059,34A,000000000000000000000000000000000000001000000010,000000000202
2619,1.414173364,C5,1001100000000001000000000000000000011000000000000000000010110001,98010000180000B1
2620,1.417129933,191,0110011010101101000001101010000000000110101011000000000001101011,66AD06A006AC006B
2621,1.417366325,C9,1000010000001011101000000000000000000000100000010100000011110000,840BA000008140F0
2622,1.417594373,19B,0111011010100000100001110010001001101010101000000000000011001001,76A087226AA000C9
2623,1.417830705,C9,1000010000001011101000000000000000000000100000010100000011110000,840BA000008140F0
2624,1.418064653,19D,0000101101001100010011111111111100000000010110101010000010011111,0B4C4FFF005AA09F
2625,1.418300986,19E,0100000000000000000000000000000100001010111100000000000000111011,400000010AF0003B
2626,1.41854316,1C3,0000011010101101000001100111111000000000000000000000000100000000,06AD067E00000100
2627,1.418791234,1F5,0100000000001111000011110000000000000000000000000000000001011110,400F0F000000005E
2628,1.4190334080000002,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2629,1.419274151,589,0100000000000000011101111100000000000000011010000011000000001111,400077C00068300F
2630,1.4220699069999998,1.00E+05,0100010000000000000010011000000010110010010000000010000111100000,44000980B24021E0
2631,1.422550499,348,000000000000000000000000000000000000001100000011,000000000303
2632,1.42316854,C1,1101100000000000000000000000000000011000000000000000000011110000,D8000000180000F0
2633,1.423406839,C5,1101100000000001000000000000000000011000000000000000000011110001,D8010000180000F1
2634,1.4241750830000002,128,1000111111100001000000001110110100000000000000000000000001011101,8FE100ED0000005D
2635,1.424421131,1C6,0001000000000000000100000000000000000000000000000000001000100010,1000100000000222
2636,1.4246633640000002,1.00E+09,0000111111111010000000000000000000000000000000000000001000001011,0FFA00000000020B
2637,1.424871921,34A,000000000000000000000000000000000000001100000011,000000000303
2638,1.425125837,269,1000000000000000000101010101000001100000000000000100000010000101,8000155060004085
2639,1.4271381490000001,191,1010011010101101000001101010000000000110101011000000000010101011,A6AD06A006AC00AB
2640,1.427376449,C9,1000010000001011101000000000000000000000100000011000000000110000,840BA00000818030
2641,1.42760837,19B,1011011010100000100001110010001001101010101000000000000000001001,B6A087226AA00009
2642,1.42784667,C9,1000010000001011101000000000000000000000100000011000000000110000,840BA00000818030
2643,1.428081095,19D,0000101101001000100011111111111100000000010110101010000011011011,0B488FFF005AA0DB
2644,1.4283213609999998,19E,1000000000000000000000000000000100001010111100000000000001111011,800000010AF0007B
2645,1.4285615680000001,1F5,1000000000001111000011110000000000000000000000000000000010011110,800F0F000000009E
2646,1.428803801,3D1,0000010000001010000000000000000000000000001001110000000000000000,040A000000270000
2647,1.4290440080000002,589,1000000000000000011101111100000000000000011010000011000001001111,800077C00068304F
2648,1.431126058,263,0101010101111000000000000000000000000000000000000000000011001101,55780000000000CD
2649,1.4321604369999998,1.00E+05,0100010000000000000010001000000011000010010000000010000111101111,44000880C24021EF
2650,1.432634711,348,000000000000000000000000000000000000000000000000,000000000000
2651,1.4331328269999999,C1,0001100000000000000000000000000000011000000000000000000000110000,1800000018000030
